;naam;straatnaam;nummeraanduiding;postcode;plaatsnaam;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES
BevoegdGezag;Naam;Straatnaam;Adres;Adres;Adres;Adres;Adres;BevoegdGezag;BevoegdGezag;BevoegdGezag
84579;Ver. Herv. Sch.gem. Onderw.;Taghof;2;8281 NA;GENEMUIDEN;1896;ZWARTEWATERLAND;Protestants-Christelijk;383856625;                                                                                
84787;Ver. Evang. Het Mosterdzaadje;Oranjeweg;116;8166 JD;EMST;232;EPE;Protestants-Christelijk;          ;                                                                                
84801;Stg. Vrije School Amersfoort;Romeostraat;74;3816 SE;AMERSFOORT;307;AMERSFOORT;Antroposofisch;334727622;www.vrijeschoolamersfoort.nl
84827;Ver. Basisond. Sprang-Capelle;Willem de Zwijgerstraat;29;5161 HB;SPRANG-CAPELLE;867;WAALWIJK;Protestants-Christelijk;416273311;www.cbderank.nl
85048;De Capelse Schoolvereniging;Alkenlaan;91;2903 EB;CAPELLE AAN DEN IJSSEL;502;CAPELLE AAN DEN IJSSEL;Algemeen bijzonder;104505808;www.decsv.nl
85217;Stg. Samenwerk.sch. Slootdorp;Grotewallerweg;3-dec;1742 NM;SCHAGEN;441;SCHAGEN;Algemeen bijzonder;224274555;www.stichtingsurplus.nl
85255;Salomo, Stg. CPO Z-Kennemerlnd;Tetterodestraat;66;2023 XR;HAARLEM;392;HAARLEM;Protestants-Christelijk;237078380;www.salomoscholen.nl
85476;Sticht. Voor Christel. Onderw.;Veldkamp;33;3843 BG;HARDERWIJK;243;HARDERWIJK;Protestants-Christelijk;341431479;www.cbswillemalexander.nl
85502;Ver. School met de Bijbel;Hobbemastraat;1;3372 XG;HARDINXVELD-GIESSENDAM;523;HARDINXVELD-GIESSENDAM;Protestants-Christelijk;184612345;www.regenboog-hardinxveld.nl
85600;Stg. 'Ieder kind telt' C.P.O.;Jacob van Houtestraat;4;7442 NC;NIJVERDAL;163;HELLENDOORN;Protestants-Christelijk;548616513;www.iederkindtelt.nl
86035;Ver. Wijnjewoude,Votum Nostrum;Welfingstrjitte;5;9241 GM;WIJNJEWOUDE;86;OPSTERLAND;Protestants-Christelijk;516481700;www.votumnostrum.nl
86165;Ver. voor Christel. Onderwijs;Varenweg;23;3849 PH;HIERDEN;243;HARDERWIJK;Protestants-Christelijk;341430183;                                                                                
86464;Ver. v PCO 'Het Mosterdzaadje';'t Hoog;18-B;4221 LM;HOOGBLOKLAND;689;GIESSENLANDEN;Protestants-Christelijk;183562057;                                                                                
86724;Stg. Onderw. Kerkgenootsch.;Prins Alexanderweg;1-A;3712 AD;HUIS TER HEIDE UT;355;ZEIST;Algemeen bijzonder;306931819;www.cbsoudzandbergen.nl
86802;Ver. Basisond. te Hulshorst;Klarenweg;15;8077 SN;HULSHORST;302;NUNSPEET;Protestants-Christelijk;341451534;                                                                                
87205;Ver. Bevord. Geref. Schoolond.;Schoolweg;1;3628 BG;KOCKENGEN;1904;STICHTSE VECHT;Protestants-Christelijk;346241418;www.dewegwijzerkockengen.nl
87582;V C B L;Burg van den Boschlaan;22;3956 DC;LEERSUM;1581;UTRECHTSE HEUVELRUG;Protestants-Christelijk;343452901;www.hoeksteenleersum.nl
87920;Stg Insth Sch md Bijbel;Hertenlaan;8;6741 BH;LUNTEREN;228;EDE;Protestants-Christelijk;318571968;www.smdb-lunteren.nl
87998;Ver. School met de Bijbel;Prinses Irenelaan;14;3738 VK;MAARTENSDIJK;310;DE BILT;Protestants-Christelijk;346211765;www.smdbmaartensdijk.nl
88479;Ver. Kleut.ond. en Bas.ond. CA;Kerkeweg;10-A;8485 JJ;MUNNEKEBUREN;98;WESTSTELLINGWERF;Protestants-Christelijk;561481960;www.cbsdebaggelaar.nl
88674;Ver. Chr. onderwijs Neerl.br.;Kerkeland;13;3947 MT;LANGBROEK;352;WIJK BIJ DUURSTEDE;Protestants-Christelijk;343561250;                                                                                
88752;Ver v PC Bo Nieuwendijk;Hasselmanstraat;1;4255 HL;NIEUWENDIJK NB;870;WERKENDAM;Protestants-Christelijk;183402222;www.regenboognieuwendijk.nl
88791;Ver. School met de Bijbel;Schoolstraat;34;4306 CH;NIEUWERKERK;1676;SCHOUWEN-DUIVELAND;Reformatorisch;111641452;                                                                                
89012;Ver. Sch. met de Bijbel N'loos;Singel;2;4225 PV;NOORDELOOS;689;GIESSENLANDEN;Protestants-Christelijk;813581266;www.smdbnoordeloos.nl
89155;Herv. Schoolveren. te Nijkerk;Zandoogje;1;3863 HS;NIJKERK GLD;267;NIJKERK;Protestants-Christelijk;332470317;www.hsn-scholen.nl
89532;Ver. voor Chr. Nat. Schoolond.;Schiksweg;12;8097 SG;OOSTERWOLDE GLD;269;OLDEBROEK;Protestants-Christelijk;525621300;www.cnsdewegwijzer.nl
89571;Ver. Basisond. te Oostkapelle;Vlaamse Gaai;2;4356 DC;OOSTKAPELLE;717;VEERE;Reformatorisch;118581388;                                                                                
89896;Ver. CSO op Geref. Grondslag;Melkweg;75;3255 TE;OUDE-TONGE;1924;GOEREE-OVERFLAKKEE;Protestants-Christelijk;187642011;www.debron-ot.nl
90130;Ver Verstr Ond Ref Grond;Elzenstraat;16;5306 XM;BRAKEL;297;ZALTBOMMEL;Reformatorisch;418672707;                                                                                
90169;Ver. Prot. Chr. Onderw. Putten;Boekweitstraat;24;3882 GN;PUTTEN;273;PUTTEN;Protestants-Christelijk;341361126;                                                                                
90351;Ver. Bas.ond. Reform. Grondsl.;Swaanhilstraat;15;4411 BL;RILLAND;703;REIMERSWAAL;Reformatorisch;113551597;www.zandbaan.nl
90637;Ver. Stg. Herv. Schol. Rouveen;Korte Kerkweg;25;7954 GC;ROUVEEN;180;STAPHORST;Protestants-Christelijk;          ;www.triangel-rouveen.nl
91079;Ver Stg Insth Smdb;Schuineslootweg;85;7777 RJ;SCHUINESLOOT;160;HARDENBERG;Protestants-Christelijk;523683053;www.cnbswegwijzer.nl
91118;Chr Geref Sch Ver;Rivierdijk;238;3361 AT;SLIEDRECHT;610;SLIEDRECHT;Protestants-Christelijk;184421212;                                                                                
91456;School met de Bijbel;Nieuwe Veer;90;2959 AM;STREEFKERK;1927;MOLENWAARD;Reformatorisch;184681120;www.smdbstreefkerk.nl
92067;Ver. t/h Verstr. SO Ref.gr.sl.;Duivenwal-west;301;3905 AV;VEENENDAAL;345;VEENENDAAL;Reformatorisch;318553733;www.calvijnschoolveenendaal.nl
92210;Ver. Prot. Christ. Bas.onderw.;Demmerik;94-A;3645 EE;VINKEVEEN;736;DE RONDE VENEN;Protestants-Christelijk;297263215;                                                                                
92626;Ned. Hervormde Scholenverening;Kerkenkamp;2;8191 TA;WAPENVELD;246;HEERDE;Protestants-Christelijk;          ;                                                                                
92639;Ver. St./Inst.hd. Sch. Bijbel;Flessenbergerweg;39;8191 LH;WAPENVELD;246;HEERDE;Protestants-Christelijk;384478649;www.vanmaasschool.nl
92899;Chr. Ver. Prim.Ond. op Tersch.;Duinweg Hoorn;1;8896 KK;HOORN TERSCHELLING;93;TERSCHELLING;Protestants-Christelijk;562448787;www.basisonderwijsterschelling.nl
92951;Ver SmdB Wierden-Enter;De Savornin Lohmanstraat;2;7642 XK;WIERDEN;189;WIERDEN;Protestants-Christelijk;546579466;www.smdb-wierden-enter.nl
93419;Ver. Stg. Scholen met Bijbel;Willem de Zwijgerlaan;124;3931 KS;WOUDENBERG;351;WOUDENBERG;Protestants-Christelijk;332861276;www.pcbwillemvanoranje.nl
93445;Ver. C.N.B. te Driesum;Foarwei;39;9113 PB;WALTERSWALD;1891;DANTUMADIEL;Protestants-Christelijk;511421654;                                                                                
93653;Ver. Chr. Nat. Schoolond. Zalk;Burg van Vleutenstraat;10;8276 AL;ZALK;166;KAMPEN;Protestants-Christelijk;383636503;                                                                                
94108;Ver.stg./inst.h. Sch.md Bijbel;Vornstraat;4;5305 EJ;ZUILICHEM;297;ZALTBOMMEL;Protestants-Christelijk;418672847;                                                                                
94251;Stg. Nutsscholen Aalst-Waalre;Anemonelaan;2;5582 GC;WAALRE;866;WAALRE;Algemeen bijzonder;402233038;www.basisschool-demeent.nl
94316;Schoolver. Aerdenhout-Bentveld;Mr. H. Enschedeweg;22;2111 EB;AERDENHOUT;377;BLOEMENDAAL;Algemeen bijzonder;235441852;www.sabschool.nl
94433;Stichting Geert Groote School;Fred. Roeskestraat;82;1076 ED;AMSTERDAM;363;AMSTERDAM;Antroposofisch;206750419;www.geertgrooteschool.nl
94459;Stg. Nieuwe Schoolvereniging;Van de Veldestraat;3-II;1071 CW;AMSTERDAM;363;AMSTERDAM;Algemeen bijzonder;206400982;                                                                                
94771;Stg. Beverwijkse Montess. Sch.;Laan van Blois;100;1943 MN;BEVERWIJK;375;BEVERWIJK;Algemeen bijzonder;251227069;www.montessoribeverwijk.nl
94797;Bloemendaalse Schoolvereniging;Lage Duin en Daalseweg;17;2061 BB;BLOEMENDAAL;377;BLOEMENDAAL;Algemeen bijzonder;235256205;                                                                                
95135;Delftsche Schoolvereeniging;Koningsplein;83;2611 XG;DELFT;503;DELFT;Algemeen bijzonder;703978639;                                                                                
