PRODUKT_CODE;B_DAT_PRODUKT;PROD_COMP_CODE;B_DAT_PROD_COMP;E_DAT_PROD_COMP;SOORT_PROD_COMP;KOST_PL_E_COMP;KOST_PL_H_COMP;GB_NR_PROD_COMP;BEDR_PROD_COMP;BTW_C_PROD_COMP;BTW_P_PROD_COMP;MUT_DAT_PR_COMP;AMBT_CODE_MUT;TYD_STEMPEL
009;20090206;2;20090206;20121231;K;3010;1291;63099999;1.00;;0.00;20121211;SAP;3564320413
009;20080401;1;20080401;20090205;O;3010;1291;83021031;57.75;;0.00;20080331;SAP;3442928549
009;20080401;2;20080401;20090205;K;3010;1291;63099999;1.00;;0.00;20080331;SAP;3442928549
009;20050706;1;20050706;20070331;O;2050;1071;82120900;15.00;;0.00;20070329;SAP;3384262927
009;20050706;2;20050706;20070331;K;2050;1071;62099999;1.00;;0.00;20070329;SAP;3384262927
009;20050527;1;20050527;20050705;O;2050;1071;82181000;15.00;;0.00;20050526;SAP;3329658047
009;20050527;2;20050527;20050705;K;2050;1071;62099999;1.00;;0.00;20050526;SAP;3329658047
009;20040101;1;20040101;20050526;O;6220;1071;82120900;15.00;;0.00;20050111;RAP;3326196069
009;20040101;2;20040101;20050526;K;6220;1071;62099999;1.00;;0.00;20031029;RAP;3326196069
009;20030101;1;20030101;20031231;O;6220;1071;82181000;25.00;;0.00;20021008;RAP;3243160501
009;20030101;2;20030101;20031231;K;6220;1071;62099999;1.00;;0.00;20021008;RAP;3243160501
009;20020101;1;20020101;20021231;O;6220;1071;82181000;24.05;;0.00;20011031;EUR;3213621519
009;20020101;2;20020101;20021231;K;6220;1071;62099999;1.00;;0.00;20011031;EUR;3213621519
009;20000101;1;20000101;20011231;O;6220;1071;82181000;50.00;;0.00;20011031;RAP;3213621518
009;20000101;2;20000101;20011231;K;6220;1071;62099999;1.00;;0.00;20011031;RAP;3213621518
009;19970103;1;19970103;19991231;O;6220;7;82181000;50.00;;0.00;20010616;RAP;3201759078
009;19970103;2;19970103;19991231;K;6220;7;62181000;1.00;;0.00;20010616;RAP;3201759078
009;19970101;1;19970101;19970102;O;6220;7;82181000;50.00;;0.00;19961128;RAP;3058254950
009;19970101;2;19970101;19970102;K;6220;7;62181000;1.00;;0.00;19961128;RAP;3058254950
009;19961220;1;19961220;19961231;O;6220;7;82181000;42.00;;0.00;19961219;RAP;3060058060
009;19961220;2;19961220;19961231;K;6220;7;62181000;1.00;;0.00;19961219;RAP;3060058060
009;19960101;1;19960101;19961219;O;6220;7;82181000;42.00;;0.00;19960925;RAP;3052741065
009;19960101;2;19960101;19961219;K;6220;7;62181000;1.00;;0.00;19960925;RAP;3052741065
010;20061111;1;20061111;99999999;O;3010;1291;83011020;7.95;;0.00;20061110;SAP;3372253315
010;20061111;2;20061111;99999999;K;3010;1291;63099999;1.00;;0.00;20061110;SAP;3372253315
010;20050601;1;20050601;20061110;O;3010;1291;83011020;7.95;;0.00;20050531;SAP;3372253315
010;20050601;2;20050601;20061110;K;3010;1291;63099999;1.00;;0.00;20050531;SAP;3372253315
010;19970109;1;19970109;19991231;O;3240;14;83023010;0.00;;0.00;20010616;RAP;3201759078
010;19970109;2;19970109;19991231;K;3240;14;63023010;0.00;;0.00;20010616;RAP;3201759078
010;19961002;1;19961002;19970108;O;3240;14;83023010;22.00;;0.00;19961001;RAP;3053247843
010;19961002;2;19961002;19970108;K;3240;14;63023010;1.00;;0.00;19961001;RAP;3053247843
010;19960101;1;19960101;19961001;O;3240;14;83023010;22.00;;0.00;19960926;RAP;3052821159
010;19960101;2;19960101;19961001;K;6210;14;63023010;1.00;;0.00;19960926;RAP;3052821159
011;20150901;1;20150901;99999999;O;3010;1291;83021020;39.00;;0.00;20150831;SAP;3650115617
011;20150901;2;20150901;99999999;K;3010;1291;63099999;1.00;;0.00;20150831;SAP;3650115617
011;20131205;1;20131205;20150831;O;3010;1291;83021020;39.00;;0.00;20131204;SAP;3650115617
011;20131205;2;20131205;20150831;K;3010;1291;63099999;1.00;;0.00;20131204;SAP;3650115617
011;20130101;1;20130101;20131204;O;3010;1291;83021020;39.00;;0.00;20121231;SAP;3595251616
011;20130101;2;20130101;20131204;K;3010;1291;63099999;1.00;;0.00;20121231;SAP;3595251616
011;20100101;1;20100101;20121231;O;3010;1291;83021020;38.00;;0.00;20121211;SAP;3564320413
